Rainfall - (MM), Year, Statistics, Country
41.7275,2004, Apr , India
61.4734,2004, May , India
169.653,2004, Jun , India
181.622,2004, Jul , India
242.603,2004, Aug , India
143.7,2004, Sep , India
83.9595,2004, Oct , India
14.8435,2004, Nov , India
4.21668,2004, Dec , India
15.6107,2005, Jan , India
13.5577,2005, Feb , India
25.3027,2005, Mar , India
29.9083,2005, Apr , India
45.292,2005, May , India
126.956,2005, Jun , India
243.22,2005, Jul , India
180.217,2005, Aug , India
211.371,2005, Sep , India
93.7128,2005, Oct , India
19.0909,2005, Nov , India
8.8354,2005, Dec , India
5.58405,2006, Jan , India
4.252,2006, Feb , India
33.8217,2006, Mar , India
49.7575,2006, Apr , India
71.3447,2006, May , India
130.572,2006, Jun , India
287.882,2006, Jul , India
255.353,2006, Aug , India
180.838,2006, Sep , India
69.2117,2006, Oct , India
33.3582,2006, Nov , India
4.35072,2006, Dec , India
1.11496,2007, Jan , India
34.449,2007, Feb , India
17.7701,2007, Mar , India
47.1828,2007, Apr , India
49.3842,2007, May , India
164.16,2007, Jun , India
234.215,2007, Jul , India
271.744,2007, Aug , India
198.825,2007, Sep , India
47.78,2007, Oct , India
18.0383,2007, Nov , India
6.54007,2007, Dec , India
12.5762,2008, Jan , India
11.4103,2008, Feb , India
19.3223,2008, Mar , India
31.4689,2008, Apr , India
48.9404,2008, May , India
206.119,2008, Jun , India
237.229,2008, Jul , India
264.578,2008, Aug , India
158.771,2008, Sep , India
54.2485,2008, Oct , India
29.144,2008, Nov , India
8.32411,2008, Dec , India
5.35049,2009, Jan , India
6.24596,2009, Feb , India
10.3648,2009, Mar , India
27.1659,2009, Apr , India
60.8802,2009, May , India
109.863,2009, Jun , India
244.906,2009, Jul , India
184.19,2009, Aug , India
155.807,2009, Sep , India
64.183,2009, Oct , India
56.4923,2009, Nov , India
11.1955,2009, Dec , India
6.99763,2010, Jan , India
8.72056,2010, Feb , India
16.1235,2010, Mar , India
42.6512,2010, Apr , India
56.4619,2010, May , India
141.253,2010, Jun , India
253.967,2010, Jul , India
278.836,2010, Aug , India
219.116,2010, Sep , India
80.5135,2010, Oct , India
58.3874,2010, Nov , India
16.3028,2010, Dec , India
3.68602,2011, Jan , India
21.0137,2011, Feb , India
7.75301,2011, Mar , India
29.96,2011, Apr , India
52.2376,2011, May , India
214.147,2011, Jun , India
239.78,2011, Jul , India
324.397,2011, Aug , India
193.288,2011, Sep , India
40.0764,2011, Oct , India
16.6001,2011, Nov , India
8.06438,2011, Dec , India
20.106,2012, Jan , India
3.55318,2012, Feb , India
8.27489,2012, Mar , India
38.1532,2012, Apr , India
38.6942,2012, May , India
90.9044,2012, Jun , India
253.108,2012, Jul , India
267.531,2012, Aug , India
217.219,2012, Sep , India
53.0233,2012, Oct , India
23.7162,2012, Nov , India
8.95073,2012, Dec , India
7.37833,2013, Jan , India
25.1718,2013, Feb , India
13.4231,2013, Mar , India
32.6442,2013, Apr , India
46.3816,2013, May , India
241.754,2013, Jun , India
320.851,2013, Jul , India
234.015,2013, Aug , India
149.673,2013, Sep , India
113.264,2013, Oct , India
19.3736,2013, Nov , India
6.25491,2013, Dec , India
16.8068,2014, Jan , India
23.8258,2014, Feb , India
20.9625,2014, Mar , India
23.3837,2014, Apr , India
54.4547,2014, May , India
91.2067,2014, Jun , India
246.599,2014, Jul , India
207.789,2014, Aug , India
196.251,2014, Sep , India
63.3887,2014, Oct , India
14.4773,2014, Nov , India
8.15783,2014, Dec , India
16.3729,2015, Jan , India
11.7751,2015, Feb , India
36.9039,2015, Mar , India
54.2276,2015, Apr , India
48.0787,2015, May , India
179.885,2015, Jun , India
242.984,2015, Jul , India
241.113,2015, Aug , India
139.515,2015, Sep , India
41.1901,2015, Oct , India
31.5398,2015, Nov , India
6.64288,2015, Dec , India
7.65333,2016, Jan , India
9.3345,2016, Feb , India
21.2971,2016, Mar , India
21.3067,2016, Apr , India
63.5447,2016, May , India
149.416,2016, Jun , India
322.162,2016, Jul , India
235.774,2016, Aug , India
156.579,2016, Sep , India
51.0386,2016, Oct , India
8.62107,2016, Nov , India
9.65157,2016, Dec , India
