Kilometres,Zone,Bonus,Make,Insured,Claims,Payment
1,6,7,1,4492.77,136,727249
1,6,7,2,606.55,16,114290
1,6,7,3,561.04,21,128950
1,6,7,4,1799.95,29,191942
1,6,7,5,1203.92,48,118462
1,6,7,6,2874.45,70,422565
1,6,7,7,914.58,27,208821
1,6,7,8,347.4,15,131927
1,6,7,9,34969.21,886,5181284
2,3,4,2,119.96,13,62674
2,3,4,3,69.04,2,2597
2,3,4,4,173.48,11,46956
2,3,4,5,155.48,8,45486
2,3,4,6,468.53,19,75634
2,3,4,7,147.89,9,84248
2,4,1,1,1493.99,226,1107859
2,4,1,2,131.48,14,103393
2,4,1,3,88.79,8,112948
2,4,1,4,774.1,39,121494
2,4,1,5,372.41,66,369471
2,4,1,6,1295.44,109,492597
2,4,1,7,240.77,23,51380
2,4,1,8,44.59,8,20312
2,4,1,9,13502.14,1442,7243260
2,4,2,1,1402.82,119,614064
2,4,2,2,157.16,13,37643
2,4,2,3,87.93,4,16203
2,4,2,4,727.28,35,212362
2,4,2,5,317.39,38,204612
2,4,2,6,1299.16,65,566535
2,4,2,7,250.94,18,128549
2,4,2,8,52.96,5,35588
2,4,2,9,12692.5,849,4327298
2,4,3,1,1388.66,99,691234
2,4,3,2,177.33,5,45982
2,4,5,7,329.99,8,51133
2,4,5,8,115.65,5,25988
2,4,5,9,10932.73,441,2172831
2,4,6,1,3057.73,116,579356
2,4,6,2,665.09,29,142262
2,4,6,3,570.12,18,110476
2,4,6,4,347.66,10,62709
2,4,6,5,722.62,37,134350
2,4,6,6,1508.43,41,206813
2,4,6,7,656.37,17,45923
2,4,6,8,259.31,13,74790
2,4,6,9,19012.21,728,3816718
2,4,7,1,21848.06,605,3502535
2,4,7,2,4430.43,153,836130
2,4,7,3,4695.14,91,528367
2,4,7,4,1818.17,33,101358
2,4,7,5,4808.39,127,850044
2,4,7,6,10510.83,242,1174270
2,4,7,7,4635.35,135,697806
2,4,7,8,1853.07,49,319803
2,4,7,9,121293.07,3338,18245026
2,5,1,1,217.27,47,161646
2,5,1,2,24.81,1,4656
2,5,1,3,14.58,1,2810
2,5,1,4,96.11,4,43315
2,5,1,5,58.14,13,32595
2,5,1,6,182.69,15,61055
2,5,1,7,40.3,5,35437
2,5,1,8,5.82,2,6656
2,5,1,9,1933.36,250,1001018
2,5,2,1,211.17,20,113635
2,5,2,2,27.01,5,39053
2,5,2,3,11.46,0,0
2,5,2,4,89.19,4,23893
2,5,2,5,58.24,10,24691
2,5,2,6,208.24,12,29123
2,5,2,7,56.58,2,1758
2,5,2,8,8.09,1,4834
2,5,2,9,1976.19,176,1044585
2,5,3,1,231.22,23,64911
2,5,3,2,32.05,1,2536
2,5,3,3,14.51,2,1453
2,5,3,4,56.66,3,5473
2,5,3,5,48.09,7,8258
2,5,3,6,175.31,7,16559
2,5,3,7,46.96,4,7541
2,5,3,8,12.26,0,0
2,5,3,9,1710.73,101,352227
2,5,4,1,229.87,16,70312
2,5,4,2,30.72,1,963
2,5,4,3,17.05,1,2320
2,5,4,4,35.98,1,2762
2,6,4,8,42.98,3,6623
2,6,4,9,2926.5,138,597450
2,6,5,1,518.47,21,118651
2,6,5,2,96.83,4,9580
2,6,5,3,58.16,1,3521
2,6,5,4,77.26,0,0
2,6,5,5,122.15,12,40820
2,6,5,6,301.84,9,81184
2,6,5,7,100.55,5,11208
2,6,5,8,66.47,4,39787
2,6,5,9,3279.28,146,756142
2,6,6,1,992.33,44,278171
2,6,6,2,209.98,6,71372
2,6,6,3,165.79,4,55283
2,6,6,4,80.16,4,10539
2,6,6,5,247.97,11,86405
2,6,6,6,546.95,24,80714
2,6,6,7,199.47,4,9307
2,6,6,8,137.44,5,40319
2,6,6,9,5716.97,211,1097124
2,6,7,1,6871.94,219,1148035
2,6,7,2,1358.02,47,177092
2,6,7,3,1305.97,25,142010
2,6,7,4,417.82,9,19434
2,6,7,5,1507.58,51,233769
2,6,7,6,3172.45,55,321914
2,6,7,7,1369.78,54,391112
2,6,7,8,792.12,24,127778
2,6,7,9,35319.16,1037,5765190
2,7,1,1,36.94,6,15613
2,7,1,2,3.06,0,0
2,7,1,3,2.02,0,0
2,7,1,4,28.33,1,3005
2,7,1,5,9.02,0,0
2,7,1,6,20.84,4,5072
2,7,1,7,4.48,0,0
2,7,1,8,1.68,0,0
2,7,1,9,342.29,26,157981
2,7,2,1,33.57,3,6068
2,7,2,2,9.92,0,0
2,7,2,3,1.3,0,0
2,7,2,4,22.69,1,1410
2,7,2,5,10.46,2,33342
2,7,2,6,24.96,1,4059
2,7,2,7,5.1,0,0
2,7,2,8,3.26,0,0
2,7,2,9,349.42,15,145126
2,7,3,1,35.15,1,2200
2,7,3,2,8.06,0,0
2,7,3,3,1.96,0,0
2,7,3,4,18.8,1,1588
2,7,3,5,5.05,0,0
2,7,3,6,18.54,1,31442
2,7,3,7,8.4,1,2800
2,7,3,8,0.35,0,0
2,7,3,9,292.05,13,23491
2,7,4,1,27.49,1,1329
2,7,4,2,4.95,0,0
2,7,4,3,2.11,0,0
2,7,4,4,8.96,0,0
2,7,4,5,6.14,1,1916
2,7,4,6,17.98,0,0
2,7,4,7,2.68,0,0
2,7,4,8,1.64,0,0
2,7,4,9,258.15,5,15880
2,7,5,1,38.56,3,12590
2,7,5,2,10.75,0,0
2,7,5,3,3.11,0,0
2,7,5,4,8.92,0,0
2,7,5,5,4.96,0,0
2,7,5,6,17.21,0,0
2,7,5,7,6.31,0,0
2,7,5,8,2.5,0,0
2,7,5,9,267.12,8,11642
2,7,6,1,63.98,2,6574
2,7,6,2,16.87,4,7333
2,7,6,3,6.9,0,0
2,7,6,4,8.68,0,0
2,7,6,5,11.99,0,0
2,7,6,6,24.08,0,0
3,3,1,5,76.42,18,103398
3,3,1,6,171.47,18,101601
3,3,1,7,37.76,5,7103
3,3,1,8,14.17,1,31442
3,3,1,9,2164.34,294,1266124
3,3,2,1,354.49,43,270211
3,3,2,2,56.21,7,45695
3,3,2,3,33.16,1,6939
3,3,2,4,72.74,5,12904
3,3,2,5,88.73,11,26769
3,3,2,6,257.15,19,67830
3,3,2,7,55.78,6,21727
3,3,2,8,26.57,2,7009
3,3,2,9,2691.01,234,1261608
3,3,3,1,388.74,25,131184
3,3,3,2,71.36,7,44201
3,3,3,3,38.48,1,4375
3,3,3,4,71.03,2,5964
3,3,3,5,86.96,11,42621
3,3,3,6,250.19,20,173266
3,3,3,7,75,6,39333
3,3,3,8,34.92,5,22418
3,3,3,9,2786.03,190,858717
3,3,4,1,449.5,29,195168
3,3,4,2,106.66,7,51072
3,3,4,3,50.85,3,34954
3,3,4,4,49.51,2,11339
3,3,4,5,93.52,3,4737
3,3,4,6,229.73,14,69250
3,3,4,7,93.86,6,23703
3,3,4,8,35.25,2,33142
3,3,4,9,2823.71,174,804353
3,3,5,1,623.39,41,164990
3,3,5,2,165.36,8,49197
3,3,5,3,107.24,6,9345
3,3,5,4,53.95,2,4256
3,3,5,5,115.89,13,33965
3,3,5,6,289.39,14,64812
3,3,5,7,130.94,9,58316
3,3,5,8,68.28,3,5923
3,3,5,9,3795.31,233,1102967
3,3,6,1,1211.8,55,204035
3,3,6,2,331.56,27,160170
3,3,6,3,244.41,21,112398
3,3,6,4,69.85,4,7558
3,3,6,5,285.97,13,72538
3,3,6,6,501.96,17,79132
3,3,6,7,260.81,16,66095
3,3,6,8,140.81,11,99429
3,3,6,9,6982.23,418,2296256
3,3,7,1,6637.23,243,1109910
3,3,7,2,1681.52,71,377529
3,3,7,3,1688.25,47,211505
3,3,7,4,319.83,6,49844
3,3,7,5,1402.18,55,204355
3,3,7,6,2650.35,76,436313
3,3,7,7,1414.4,56,314402
3,3,7,8,821.8,32,244466
3,3,7,9,36595.09,1462,7765626
3,4,1,1,559.52,82,333333
3,4,1,2,79.18,9,83389
3,4,5,3,229.54,14,83355
3,4,5,4,95.75,2,8741
3,4,5,5,262.73,18,44435
3,4,5,6,575.18,17,65613
3,4,5,7,240.02,14,28430
3,4,5,8,132.37,2,7701
3,4,5,9,7316.31,332,2030248
3,4,6,1,2278.6,101,444371
3,4,6,2,587.8,31,122651
3,4,6,3,504.36,14,103196
3,4,6,4,124.82,2,31519
3,4,6,5,520.21,26,116043
3,4,6,6,969.68,40,193661
3,4,6,7,483.93,22,64380
3,4,6,8,317.12,15,150041
3,4,6,9,13375.57,616,3207923
3,4,7,1,14598.67,444,2526990
3,4,7,2,3769.94,118,775364
3,4,7,3,3657.95,104,731869
3,4,7,4,639.63,8,13695
3,4,7,5,3018.7,95,485071
3,4,7,6,6256.55,150,730785
3,4,7,7,2890.19,115,676893
3,4,7,8,2160,55,380519
3,4,7,9,79614.96,2548,13203616
3,5,1,1,66.18,11,86991
3,5,1,2,12.2,2,4206
3,5,1,3,10.46,0,0
3,5,1,4,12.55,1,31442
3,5,1,5,16.22,1,617
3,5,1,6,45.16,1,1606
3,5,1,7,10.26,4,8787
3,5,1,8,8.14,0,0
3,5,1,9,582.17,82,288772
3,5,2,1,95.88,4,40620
3,5,2,2,14.67,1,1234
3,5,2,3,9.1,0,0
3,5,2,4,14.04,0,0
3,5,2,5,23.38,5,10834
3,5,2,6,64.73,6,80041
3,5,2,7,15.78,0,0
3,5,2,8,7.15,0,0
3,5,2,9,682.07,66,251890
3,5,3,1,106.06,9,52060
3,5,3,2,25.79,3,5523
3,5,3,3,12.55,1,901
3,5,3,4,12.61,1,2693
3,5,3,5,28.41,1,1300
3,5,3,6,69.25,4,10121
3,5,3,7,24.06,0,0
3,5,3,8,7.05,0,0
3,5,3,9,696.56,44,270042
3,5,4,1,122.77,6,40268
3,5,4,2,28.66,1,1100
3,5,4,3,18.5,1,1855
3,5,4,4,10,0,0
3,5,4,5,29.15,0,0
3,5,4,6,71.37,4,11034
3,5,4,7,22.78,1,3056
3,5,4,8,10.62,2,32355
4,2,7,6,630.8,30,78258
4,2,7,7,410.91,26,73043
4,2,7,8,328.26,5,14963
4,2,7,9,12169.67,598,3223609
4,3,1,1,70.13,12,55595
4,3,1,2,17.58,1,8064
4,3,1,3,23.46,2,6214
4,3,1,4,11.23,1,8670
4,3,1,5,13.24,3,2138
4,3,1,6,47.61,5,12105
4,3,1,7,11.87,0,0
4,3,1,8,5.77,0,0
4,3,1,9,499.28,52,237894
4,3,2,1,112.86,11,25656
4,3,2,2,26.77,1,3915
4,3,2,3,25.69,7,41229
4,3,2,4,11.26,1,3468
4,3,2,5,23.55,3,2732
4,3,2,6,78.7,6,18099
4,3,2,7,19.31,4,8908
4,3,2,8,7.38,1,31442
4,3,2,9,784.88,74,291386
4,3,3,1,132.22,11,112977
4,3,3,2,32.33,2,5747
4,3,3,3,23.84,1,31442
4,3,3,4,12.19,1,2400
4,3,3,5,31.33,1,939
4,3,3,6,92.3,6,47618
4,3,3,7,18.55,3,10335
4,3,3,8,7.26,0,0
4,3,3,9,881.54,46,198404
4,3,4,1,181.06,9,45410
4,3,4,2,46.47,0,0
4,3,4,3,29.81,0,0
4,3,4,4,9.02,0,0
4,3,4,5,31.21,6,44195
4,3,4,6,89.92,3,10382
4,3,4,7,31.18,2,3523
4,3,4,8,17.15,3,10519
4,3,4,9,958.53,73,380081
4,3,5,1,232.21,9,86821
4,3,5,2,55.68,0,0
4,3,5,3,48.14,2,34624
4,3,5,4,12.63,0,0
4,3,5,5,52.17,2,3952
4,3,5,6,107.44,6,46145
4,3,5,7,40.18,5,11704
4,3,5,8,38.26,0,0
4,3,5,9,1404.67,95,417261
4,3,6,1,502.26,23,107693
4,3,6,2,135.72,14,84314
4,3,6,3,140.08,5,9624
4,3,6,4,17.48,0,0
4,3,6,5,107.97,5,17978
4,3,6,6,143.88,11,27311
4,3,6,7,87.39,8,42469
4,3,6,8,82.11,4,18826
4,3,6,9,2805.94,139,733705
4,3,7,1,2312.76,107,695827
4,3,7,2,676.83,29,146054
4,3,7,3,748.35,33,169849
4,3,7,4,79.77,5,42430
4,3,7,5,504.39,18,66503
4,3,7,6,862.65,25,124101
4,3,7,7,512.76,17,59311
4,3,7,8,470.4,22,121196
4,3,7,9,13951.57,584,2899470
4,4,1,1,172.47,21,105510
4,4,1,2,26.09,0,0
4,4,1,3,30.77,5,40261
4,4,1,4,13.54,0,0
4,4,1,5,30.82,3,43190
4,4,1,6,104.04,9,25652
4,4,1,7,20.72,4,7244
4,4,1,8,11.16,2,2280
4,4,1,9,944.79,90,407441
4,4,2,1,269.84,31,271937
4,4,2,2,44.88,4,18343
4,6,1,3,7.13,1,2360
4,6,1,4,2.32,0,0
4,6,1,5,8.74,2,13931
4,6,1,6,25.54,3,32660
4,6,1,7,7.17,2,4415
4,6,1,8,3.47,0,0
4,6,1,9,282.66,22,56172
4,6,2,1,93.52,11,25417
4,6,2,2,7.56,0,0
4,6,2,3,5.7,0,0
4,6,2,4,3.57,0,0
4,6,2,5,11.91,3,41995
4,6,2,6,70.7,3,11924
4,6,2,7,10.96,1,31442
4,6,2,8,9.96,0,0
4,6,2,9,468.91,34,209378
4,6,3,1,104.27,8,51392
4,6,3,2,16,1,1363
4,6,3,3,9.16,2,4211
4,6,3,4,5.5,0,0
4,6,3,5,11.33,1,3759
4,6,3,6,58.02,3,10592
4,6,3,7,19.89,2,8013
4,6,3,8,11.8,1,6140
4,6,3,9,517.45,34,165960
4,6,4,1,103.11,8,23206
4,6,4,2,22.01,0,0
4,6,4,3,18.18,1,1955
4,6,4,4,3.26,0,0
4,6,4,5,15.31,2,5460
4,6,4,6,56.73,0,0
4,6,4,7,19.28,2,8463
4,6,4,8,25.32,1,2735
4,6,4,9,525.48,29,191633
4,6,5,1,129.17,5,14134
4,6,5,2,32.33,4,15546
4,6,5,3,31.2,1,2965
4,6,5,4,4.05,0,0
4,6,5,5,29.28,0,0
4,6,5,6,70.88,3,36493
4,6,5,7,26.85,5,10031
4,6,5,8,37.44,1,6323
4,6,5,9,777.52,35,203397
4,6,6,1,269.86,15,75377
4,6,6,2,82.85,3,5504
4,6,6,3,79.68,3,9347
4,6,6,4,6.7,0,0
4,6,6,5,64.77,3,13395
4,6,6,6,114.7,4,14816
4,6,6,7,52.7,5,7421
5,5,3,3,3.24,1,779
5,5,3,4,1.16,0,0
5,5,3,5,1.52,0,0
5,5,3,6,9.01,0,0
5,5,3,7,2.63,0,0
5,5,3,8,10.94,2,6484
5,5,3,9,188.15,13,75374
5,5,4,1,20.61,3,35174
5,5,4,2,7.09,0,0
5,5,4,3,7.6,2,3611
5,5,4,5,3.31,0,0
5,5,4,6,13,0,0
5,5,4,7,1.37,0,0
5,5,4,8,11.07,0,0
5,5,4,9,177.36,12,61341
5,5,5,1,28.28,1,716
5,5,5,2,17.99,1,3896
5,5,5,3,21.19,1,1576
5,5,5,5,10.13,0,0
5,5,5,6,10.81,0,0
5,5,5,7,3.99,0,0
5,5,5,8,12.05,0,0
5,5,5,9,234,22,107065
5,5,6,1,54.72,1,3000
5,5,6,2,21.61,2,4502
5,5,6,3,42.44,2,3695
5,5,6,4,1.65,0,0
5,5,6,5,16.46,0,0
5,5,6,6,26.23,2,10259
5,5,6,7,13.65,3,5598
5,5,6,8,39.76,4,15915
5,5,6,9,568.65,42,186899
5,5,7,1,266.04,17,80318
5,5,7,2,116.75,6,48119
5,5,7,3,171.84,9,26797
5,5,7,4,2.07,0,0
5,5,7,5,61.96,4,10580
5,5,7,6,114.36,2,39981
5,5,7,7,49.37,2,5391
5,5,7,8,173.28,11,119909
5,5,7,9,2387.46,99,559278
5,6,1,1,30.8,4,8714
5,6,1,2,11.97,2,7747
5,6,1,3,3.22,1,31442
5,6,1,4,1.34,0,0
5,6,1,5,8.91,2,3112
5,6,1,6,15.68,0,0
5,6,1,7,6.17,0,0
5,6,1,8,6.94,1,994
5,6,1,9,201.95,15,120724
5,6,2,1,62.69,9,20731
5,7,7,7,2.83,1,966
5,7,7,8,13.06,0,0
5,7,7,9,384.87,16,112252
