Variance,Skewness,Kurtosis,Entropy,Authenticity
2.2634,-4.4862,3.6558,-0.61251,0
1.3566,4.2358,2.1341,0.3211,0
5.0452,3.8964,-1.4304,0.86291,0
3.5499,8.6165,-3.2794,-1.2009,0
0.17346,7.8695,0.26876,-3.7883,0
2.4008,9.3593,-3.3565,-3.3526,0
4.8851,1.5995,-0.00029081,1.6401,0
4.1927,-3.2674,2.5839,0.21766,0
1.1166,8.6496,-0.96252,-1.8112,0
1.0235,6.901,-2.0062,-2.7125,0
-1.803,11.8818,2.0458,-5.2728,0
0.11739,6.2761,-1.5495,-2.4746,0
0.5706,-0.0248,1.2421,-0.5621,0
4.0552,-2.4583,2.2806,1.0323,0
-1.6952,1.0657,8.8294,0.94955,0
-1.1193,10.7271,2.0938,-5.6504,0
1.8799,2.4707,2.4931,0.37671,0
3.583,-3.7971,3.4391,-0.12501,0
0.19081,9.1297,-3.725,-5.8224,0
3.6582,5.6864,-1.7157,-0.23751,0
-0.13144,-1.7775,8.3316,0.35214,0
2.3925,9.798,-3.0361,-2.8224,0
1.6426,3.0149,0.22849,-0.147,0
-0.11783,-1.5789,8.03,-0.028031,0
-0.69572,8.6165,1.8419,-4.3289,0
2.9421,7.4101,-0.97709,-0.88406,0
-1.7559,11.9459,3.0946,-4.8978,0
-1.2537,10.8803,1.931,-4.3237,0
3.2585,-4.4614,3.8024,-0.15087,0
1.8314,6.3672,-0.036278,0.049554,0
4.5645,-3.6275,2.8684,0.27714,0
2.7365,-5.0325,6.6608,-0.57889,0
0.9297,-3.7971,4.6429,-0.2957,0
3.9663,10.1684,-4.1131,-4.6056,0
1.4578,-0.08485,4.1785,0.59136,0
4.8272,3.0687,0.68604,0.80731,0
-2.341,12.3784,0.70403,-7.5836,0
-1.8584,7.886,-1.6643,-1.8384,0
4.1454,7.257,-1.9153,-0.86078,0
1.9157,6.0816,0.23705,-2.0116,0
4.0215,-2.1914,2.4648,1.1409,0
5.8862,5.8747,-2.8167,-0.30087,0
-2.0897,10.8265,2.3603,-3.4198,0
4.0026,-3.5943,3.5573,0.26809,0
-0.78689,9.5663,-3.7867,-7.5034,0
1.9572,-5.1153,8.6127,-1.4297,0
-2.484,12.1611,2.8204,-3.7418,0
-1.1497,1.2954,7.701,0.62627,0
4.8368,10.0132,-4.3239,-4.3276,0
-0.12196,8.8068,0.94566,-4.2267,0
1.9429,6.3961,0.092248,0.58102,0
1.742,-4.809,8.2142,-2.0659,0
-1.5222,10.8409,2.7827,-4.0974,0
-1.3,10.2678,-2.953,-5.8638,0
3.4246,-0.14693,0.80342,0.29136,0
2.5503,-4.9518,6.3729,-0.41596,0
1.5691,6.3465,-0.1828,-2.4099,0
1.3087,4.9228,2.0013,0.22024,0
5.1776,8.2316,-3.2511,-1.5694,0
2.229,9.6325,-3.1123,-2.7164,0
5.6272,10.0857,-4.2931,-3.8142,0
1.2138,8.7986,-2.1672,-0.74182,0
0.3798,0.7098,0.7572,-0.4444,0
0.5415,6.0319,1.6825,-0.46122,0
4.0524,5.6802,-1.9693,0.026279,0
4.7285,2.1065,-0.28305,1.5625,0
3.4359,0.66216,2.1041,1.8922,0
0.86816,10.2429,-1.4912,-4.0082,0
3.359,9.8022,-3.8209,-3.7133,0
3.6702,2.9942,0.85141,0.30688,0
1.3349,6.1189,0.46497,0.49826,0
3.1887,-3.4143,2.7742,-0.2026,0
2.4527,2.9653,0.20021,-0.056479,0
3.9121,2.9735,0.92852,0.60558,0
3.9364,10.5885,-3.725,-4.3133,0
3.9414,-3.2902,3.1674,1.0866,0
3.6922,-3.9585,4.3439,1.3517,0
5.681,7.795,-2.6848,-0.92544,0
0.77124,9.0862,-1.2281,-1.4996,0
3.5761,9.7753,-3.9795,-3.4638,0
1.602,6.1251,0.52924,0.47886,0
2.6682,10.216,-3.4414,-4.0069,0
2.0007,1.8644,2.6491,0.47369,0
0.64215,3.1287,4.2933,0.64696,0
4.3848,-3.0729,3.0423,1.2741,0
0.77445,9.0552,-2.4089,-1.3884,0
0.96574,8.393,-1.361,-1.4659,0
3.0948,8.7324,-2.9007,-0.96682,0
4.9362,7.6046,-2.3429,-0.85302,0
-1.9458,11.2217,1.9079,-3.4405,0
5.7403,-0.44284,0.38015,1.3763,0
-2.6989,12.1984,0.67661,-8.5482,0
1.1472,3.5985,1.9387,-0.43406,0
2.9742,8.96,-2.9024,-1.0379,0
4.5707,7.2094,-3.2794,-1.4944,0
0.1848,6.5079,2.0133,-0.87242,0
0.87256,9.2931,-0.7843,-2.1978,0
0.39559,6.8866,1.0588,-0.67587,0
3.8384,6.1851,-2.0439,-0.033204,0
2.8209,7.3108,-0.81857,-1.8784,0
2.5817,9.7546,-3.1749,-2.9957,0
3.8213,0.23175,2.0133,2.0564,0
0.3798,0.7098,0.7572,-0.4444,0
3.4893,6.69,-1.2042,-0.38751,0
-1.7781,0.8546,7.1303,0.027572,0
2.0962,2.4769,1.9379,-0.040962,0
0.94732,-0.57113,7.1903,-0.67587,0
2.8261,9.4007,-3.3034,-1.0509,0
0.0071249,8.3661,0.50781,-3.8155,0
0.96788,7.1907,1.2798,-2.4565,0
4.7432,2.1086,0.1368,1.6543,0
3.6575,7.2797,-2.2692,-1.144,0
3.8832,6.4023,-2.432,-0.98363,0
3.4776,8.811,-3.1886,-0.92285,0
1.1315,7.9212,1.093,-2.8444,0
2.8237,2.8597,0.19678,0.57196,0
1.9321,6.0423,0.26019,-2.053,0
3.0632,-3.3315,5.1305,0.8267,0
-1.8411,10.8306,2.769,-3.0901,0
2.8084,11.3045,-3.3394,-4.4194,0
2.5698,-4.4076,5.9856,0.078002,0
-0.12624,10.3216,-3.7121,-6.1185,0
3.3756,-4.0951,4.367,1.0698,0
-0.048008,-1.6037,8.4756,0.75558,0
0.5706,-0.0248,1.2421,-0.5621,0
0.88444,6.5906,0.55837,-0.44182,0
3.8644,3.7061,0.70403,0.35214,0
1.2999,2.5762,2.0107,-0.18967,0
2.0051,-6.8638,8.132,-0.2401,0
4.9294,0.27727,0.20792,0.33662,0
2.8297,6.3485,-0.73546,-0.58665,0
2.565,8.633,-2.9941,-1.3082,0
2.093,8.3061,0.022844,-3.2724,0
4.6014,5.6264,-2.1235,0.19309,0
5.0617,-0.35799,0.44698,0.99868,0
-0.2951,9.0489,-0.52725,-2.0789,0
3.577,2.4004,1.8908,0.73231,0
3.9433,2.5017,1.5215,0.903,0
2.6648,10.754,-3.3994,-4.1685,0
5.9374,6.1664,-2.5905,-0.36553,0
2.0153,1.8479,3.1375,0.42843,0
5.8782,5.9409,-2.8544,-0.60863,0
-2.3983,12.606,2.9464,-5.7888,0
1.762,4.3682,2.1384,0.75429,0
4.2406,-2.4852,1.608,0.7155,0
3.4669,6.87,-1.0568,-0.73147,0
3.1896,5.7526,-0.18537,-0.30087,0
0.81356,9.1566,-2.1492,-4.1814,0
0.52855,0.96427,4.0243,-1.0483,0
2.1319,-2.0403,2.5574,-0.061652,0
0.33111,4.5731,2.057,-0.18967,0
1.2746,8.8172,-1.5323,-1.7957,0
2.2091,7.4556,-1.3284,-3.3021,0
2.5328,7.528,-0.41929,-2.6478,0
3.6244,1.4609,1.3501,1.9284,0
-1.3885,12.5026,0.69118,-7.5487,0
5.7227,5.8312,-2.4097,-0.24527,0
3.3583,10.3567,-3.7301,-3.6991,0
2.5227,2.2369,2.7236,0.79438,0
0.045304,6.7334,1.0708,-0.9332,0
4.8278,7.7598,-2.4491,-1.2216,0
1.9476,-4.7738,8.527,-1.8668,0
2.7659,0.66216,4.1494,-0.28406,0
-0.10648,-0.76771,7.7575,0.64179,0
0.72252,-0.053811,5.6703,-1.3509,0
4.2475,1.4816,-0.48355,0.95343,0
3.9772,0.33521,2.2566,2.1625,0
3.6667,4.302,0.55923,0.33791,0
2.8232,10.8513,-3.1466,-3.9784,0
-1.4217,11.6542,-0.057699,-7.1025,0
4.2458,1.1981,0.66633,0.94696,0
4.1038,-4.8069,3.3491,-0.49225,0
1.4507,8.7903,-2.2324,-0.65259,0
3.4647,-3.9172,3.9746,0.36119,0
1.8533,6.1458,1.0176,-2.0401,0
3.5288,0.71596,1.9507,1.9375,0
3.9719,1.0367,0.75973,1.0013,0
3.534,9.3614,-3.6316,-1.2461,0
3.6894,9.887,-4.0788,-4.3664,0
3.0672,-4.4117,3.8238,-0.81682,0
2.6463,-4.8152,6.3549,0.003003,0
2.2893,3.733,0.6312,-0.39786,0
1.5673,7.9274,-0.056842,-2.1694,0
4.0405,0.51524,1.0279,1.106,0
4.3846,-4.8794,3.3662,-0.029324,0
2.0165,-0.25246,5.1707,1.0763,0
4.0446,11.1741,-4.3582,-4.7401,0
-0.33729,-0.64976,7.6659,0.72326,0
-2.4604,12.7302,0.91738,-7.6418,0
4.1195,10.9258,-3.8929,-4.1802,0
2.0193,0.82356,4.6369,1.4202,0
1.5701,7.9129,0.29018,-2.1953,0
2.6415,7.586,-0.28562,-1.6677,0
5.0214,8.0764,-3.0515,-1.7155,0
4.3435,3.3295,0.83598,0.64955,0
-1.0555,0.79459,-1.6968,-0.46768,1
-0.29858,2.4769,-2.9512,-0.66165,1
-0.49948,1.7734,-2.2469,-0.68104,1
-1.9881,0.99945,-0.28562,-0.70044,1
-1.9389,1.5706,0.045979,-1.122,1
-1.4375,-1.8624,4.026,0.55127,1
-3.1875,-7.5756,11.8678,-0.57889,1
-4.6765,-5.6636,10.969,-0.33449,1
-2.0285,3.8468,-0.63435,-1.175,1
0.26637,0.73252,-0.67891,0.03533,1
-1.7589,-6.4624,8.4773,0.31981,1
-3.5985,-13.6593,17.6052,-2.4927,1
-3.3582,-7.2404,11.4419,-0.57113,1
-2.3629,-0.10554,1.9336,1.1358,1
-2.1802,3.3791,-1.2256,-2.6621,1
-0.40951,-0.15521,0.060545,-0.088807,1
-2.2918,-7.257,7.9597,0.9211,1
-4.0214,-12.8006,15.6199,-0.95647,1
-3.3884,-8.215,10.3315,0.98187,1
-2.0046,-0.49457,1.333,1.6543,1
-1.7063,2.7956,-2.378,-2.3491,1
-1.6386,3.3584,-1.7302,-3.5646,1
-0.41645,0.32487,-0.33617,-0.36036,1
-1.5877,-6.6072,5.8022,0.31593,1
-2.5961,-9.349,9.7942,-0.28018,1
-1.5228,-6.4789,5.7568,0.87325,1
-0.53072,-0.097265,-0.21793,1.0426,1
-0.49081,2.8452,-3.6436,-3.1004,1
-6.5773,6.8017,0.85483,-7.5344,1
-2.4621,2.7645,-0.62578,-2.8573,1
-1.3995,-1.9162,2.5154,0.59912,1
-2.3221,-9.3304,9.233,-0.79871,1
-3.73,-12.9723,12.9817,-2.684,1
-1.6988,-7.1163,5.7902,0.16723,1
-0.26654,-0.64562,-0.42014,0.89136,1
0.33325,3.3108,-4.5081,-4.012,1
-4.2091,4.7283,-0.49126,-5.2159,1
-2.3142,-0.68494,1.9833,-0.44829,1
-2.4835,-7.4494,6.8964,-0.64484,1
-2.7611,-10.5099,9.0239,-1.9547,1
-0.36025,-4.449,2.1067,0.94308,1
1.0117,0.9022,-2.3506,0.42714,1
0.96708,3.8426,-4.9314,-4.1323,1
-5.2049,7.259,0.070827,-7.3004,1
-3.3203,-0.02691,2.9618,-0.44958,1
-2.565,-5.7899,6.0122,0.046968,1
-1.5951,-6.572,4.7689,-0.94354,1
0.7049,0.17174,-1.7859,0.36119,1
1.7331,3.9544,-4.7412,-2.5017,1
0.6818,4.8504,-5.2133,-6.1043,1
-6.3364,9.2848,0.014275,-6.7844,1
-3.8053,2.4273,0.6809,-1.0871,1
-2.1979,-2.1252,1.7151,0.45171,1
-0.87874,-2.2121,-0.051701,0.099985,1
0.74067,1.7299,-3.1963,-0.1457,1
0.98296,3.4226,-3.9692,-1.7116,1
-0.3489,3.1929,-3.4054,-3.1832,1
-3.8552,3.5219,-0.38415,-3.8608,1
-6.9599,8.9931,0.2182,-4.572,1
-4.7462,3.1205,1.075,-1.2966,1
-3.2051,-0.14279,0.97565,0.045675,1
-1.7549,-0.080711,-0.75774,-0.3707,1
-0.59587,2.4811,-2.8673,-0.89828,1
-0.89542,2.0279,-2.3652,-1.2746,1
-2.0754,1.2767,-0.64206,-1.2642,1
-3.2778,1.8023,0.1805,-2.3931,1
-2.2183,-1.254,2.9986,0.36378,1
-3.5895,-6.572,10.5251,-0.16381,1
-5.0477,-5.8023,11.244,-0.3901,1
-3.5741,3.944,-0.07912,-2.1203,1
-0.7351,1.7361,-1.4938,-1.1582,1
-2.2617,-4.7428,6.3489,0.11162,1
-4.244,-13.0634,17.1116,-2.8017,1
-4.0218,-8.304,12.555,-1.5099,1
-3.0201,-0.67253,2.7056,0.85774,1
-2.4941,3.5447,-1.3721,-2.8483,1
-0.83121,0.039307,0.05369,-0.23105,1
-2.5665,-6.8824,7.5416,0.70774,1
-4.4018,-12.9371,15.6559,-1.6806,1
-3.7573,-8.2916,10.3032,0.38059,1
-2.4725,-0.40145,1.4855,1.1189,1
-1.9725,2.8825,-2.3086,-2.3724,1
-2.0149,3.6874,-1.9385,-3.8918,1
-0.82053,0.65181,-0.48869,-0.52716,1
-1.7886,-6.3486,5.6154,0.42584,1
-2.9138,-9.4711,9.7668,-0.60216,1
-1.8343,-6.5907,5.6429,0.54998,1
-0.8734,-0.033118,-0.20165,0.55774,1
-0.70346,2.957,-3.5947,-3.1457,1
-6.7387,6.9879,0.67833,-7.5887,1
-2.7723,3.2777,-0.9351,-3.1457,1
-1.6641,-1.3678,1.997,0.52283,1
-2.4349,-9.2497,8.9922,-0.50001,1
-3.793,-12.7095,12.7957,-2.825,1
-1.9551,-6.9756,5.5383,-0.12889,1
-0.69078,-0.50077,-0.35417,0.47498,1
0.025013,3.3998,-4.4327,-4.2655,1
-4.3967,4.9601,-0.64892,-5.4719,1
-2.456,-0.24418,1.4041,-0.45863,1
-2.62,-6.8555,6.2169,-0.62285,1
-2.9662,-10.3257,8.784,-2.1138,1
-0.71494,-4.4448,2.2241,0.49826,1
0.6005,0.99945,-2.2126,0.097399,1
0.61652,3.8944,-4.7275,-4.3948,1
-5.4414,7.2363,0.10938,-7.5642,1
-3.5798,0.45937,2.3457,-0.45734,1
-2.7769,-5.6967,5.9179,0.37671,1
-1.8356,-6.7562,5.0585,-0.55044,1
0.30081,0.17381,-1.7542,0.48921,1
1.3403,4.1323,-4.7018,-2.5987,1
0.26877,4.987,-5.1508,-6.3913,1
-6.5235,9.6014,-0.25392,-6.9642,1
-4.0679,2.4955,0.79571,-1.1039,1
-2.564,-1.7051,1.5026,0.32757,1
-1.3414,-1.9162,-0.15538,-0.11984,1
0.23874,2.0879,-3.3522,-0.66553,1
0.6212,3.6771,-4.0771,-2.0711,1
-0.77848,3.4019,-3.4859,-3.5569,1
-4.1244,3.7909,-0.6532,-4.1802,1
-7.0421,9.2,0.25933,-4.6832,1
-4.9462,3.5716,0.82742,-1.4957,1
-3.5359,0.30417,0.6569,-0.2957,1
-2.0662,0.16967,-1.0054,-0.82975,1
-0.88728,2.808,-3.1432,-1.2035,1
-1.0941,2.3072,-2.5237,-1.4453,1
-2.4458,1.6285,-0.88541,-1.4802,1
-3.551,1.8955,0.1865,-2.4409,1
-2.2811,-0.85669,2.7185,0.044382,1
-3.6053,-5.974,10.0916,-0.82846,1
-5.0676,-5.1877,10.4266,-0.86725,1
-3.9204,4.0723,-0.23678,-2.1151,1
-1.1306,1.8458,-1.3575,-1.3806,1
-2.4561,-4.5566,6.4534,-0.056479,1
-4.4775,-13.0303,17.0834,-3.0345,1
-4.1958,-8.1819,12.1291,-1.6017,1
-3.38,-0.7077,2.5325,0.71808,1
-2.4365,3.6026,-1.4166,-2.8948,1
-0.77688,0.13036,-0.031137,-0.35389,1
-2.7083,-6.8266,7.5339,0.59007,1
-4.5531,-12.5854,15.4417,-1.4983,1
-3.8894,-7.8322,9.8208,0.47498,1
-2.5084,-0.22763,1.488,1.2069,1
-2.1652,3.0211,-2.4132,-2.4241,1
-1.8974,3.5074,-1.7842,-3.8491,1
-0.62043,0.5587,-0.38587,-0.66423,1
-1.8387,-6.301,5.6506,0.19567,1
-3,-9.1566,9.5766,-0.73018,1
-1.9116,-6.1603,5.606,0.48533,1
-1.005,0.084831,-0.2462,0.45688,1
-0.87834,3.257,-3.6778,-3.2944,1
-6.651,6.7934,0.68604,-7.5887,1
-2.5463,3.1101,-0.83228,-3.0358,1
-1.4377,-1.432,2.1144,0.42067,1
-2.4554,-9.0407,8.862,-0.86983,1
-3.9411,-12.8792,13.0597,-3.3125,1
-2.1241,-6.8969,5.5992,-0.47156,1
-0.74324,-0.32902,-0.42785,0.23317,1
-0.071503,3.7412,-4.5415,-4.2526,1
-4.2333,4.9166,-0.49212,-5.3207,1
-2.3675,-0.43663,1.692,-0.43018,1
-2.5526,-7.3625,6.9255,-0.66811,1
-3.0986,-10.4602,8.9717,-2.3427,1
-0.89809,-4.4862,2.2009,0.50731,1
0.56232,1.0015,-2.2726,-0.0060486,1
0.53936,3.8944,-4.8166,-4.3418,1
-5.3012,7.3915,0.029699,-7.3987,1
-3.3553,0.35591,2.6473,-0.37846,1
-2.7908,-5.7133,5.953,0.45946,1
-1.9983,-6.6072,4.8254,-0.41984,1
0.15423,0.11794,-1.6823,0.59524,1
1.208,4.0744,-4.7635,-2.6129,1
0.2952,4.8856,-5.149,-6.2323,1
-6.4247,9.5311,0.022844,-6.8517,1
-3.9933,2.6218,0.62863,-1.1595,1
-2.659,-1.6058,1.3647,0.16464,1
-1.4094,-2.1252,-0.10397,-0.19225,1
0.11032,1.9741,-3.3668,-0.65259,1
0.52374,3.644,-4.0746,-1.9909,1
-0.025314,-0.17383,-0.11339,1.2198,1
0.062525,2.9301,-3.5467,-2.6737,1
-5.525,6.3258,0.89768,-6.6241,1
-1.2943,2.6735,-0.84085,-2.0323,1
-0.24037,-1.7837,2.135,1.2418,1
-1.3968,-9.6698,9.4652,-0.34872,1
-2.9672,-13.2869,13.4727,-2.6271,1
-1.1005,-7.2508,6.0139,0.36895,1
0.22432,-0.52147,-0.40386,1.2017,1
0.90407,3.3708,-4.4987,-3.6965,1
-2.8619,4.5193,-0.58123,-4.2629,1
-1.0833,-0.31247,1.2815,0.41291,1
-1.5681,-7.2446,6.5537,-0.1276,1
-2.0545,-10.8679,9.4926,-1.4116,1
0.2346,-4.5152,2.1195,1.4448,1
1.581,0.86909,-2.3138,0.82412,1
1.5514,3.8013,-4.9143,-3.7483,1
-4.1479,7.1225,-0.083404,-6.4172,1
-2.2625,-0.099335,2.8127,0.48662,1
-1.7479,-5.823,5.8699,1.212,1
-0.95923,-6.7128,4.9857,0.32886,1
1.3451,0.23589,-1.8785,1.3258,1
2.2279,4.0951,-4.8037,-2.1112,1
1.2572,4.8731,-5.2861,-5.8741,1
-5.3857,9.1214,-0.41929,-5.9181,1
-2.9786,2.3445,0.52667,-0.40173,1
-1.5851,-2.1562,1.7082,0.9017,1
-0.21888,-2.2038,-0.0954,0.56421,1
1.3183,1.9017,-3.3111,0.065071,1
1.4896,3.4288,-4.0309,-1.4259,1
0.11592,3.2219,-3.4302,-2.8457,1
-3.3924,3.3564,-0.72004,-3.5233,1
-6.1632,8.7096,-0.21621,-3.6345,1
-4.0786,2.9239,0.87026,-0.65389,1
-2.5899,-0.3911,0.93452,0.42972,1
-1.0116,-0.19038,-0.90597,0.003003,1
0.066129,2.4914,-2.9401,-0.62156,1
-0.24745,1.9368,-2.4697,-0.80518,1
-1.5732,1.0636,-0.71232,-0.8388,1
-2.1668,1.5933,0.045122,-1.678,1
-1.1667,-1.4237,2.9241,0.66119,1
-2.8391,-6.63,10.4849,-0.42113,1
-4.5046,-5.8126,10.8867,-0.52846,1
-2.41,3.7433,-0.40215,-1.2953,1
0.40614,1.3492,-1.4501,-0.55949,1
-1.3887,-4.8773,6.4774,0.34179,1
-3.7503,-13.4586,17.5932,-2.7771,1
-3.5637,-8.3827,12.393,-1.2823,1
-2.5419,-0.65804,2.6842,1.1952,1
